date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-03-01 00:00:00,0.3,-2,4,0,,71,12.1,,1018.7,
2023-03-02 00:00:00,1.2,-1,6,0,,154,10.5,,1015.7,
2023-03-03 00:00:00,1.4,-2,6,0,,228,6.5,,1018.5,
2023-03-04 00:00:00,0.5,-2,6,0,,265,11.5,,1019.8,
2023-03-05 00:00:00,0.6,-1,3,0,,240,9.2,,1014.1,
2023-03-06 00:00:00,1,-2,3,0,,230,9.7,,1005.8,
2023-03-07 00:00:00,3,-2,7,0,,240,17.4,,1001.9,
2023-03-08 00:00:00,5.9,0,12,5.3,,209,21.5,,998.9,
2023-03-09 00:00:00,9,3,13,2.6,,232,28.9,,1000.5,
2023-03-10 00:00:00,7.5,3,12,3.4,,225,29.9,,997.4,
2023-03-11 00:00:00,1.1,-1,4,0,,299,16.1,,1007.7,
2023-03-12 00:00:00,3.5,-1,9,3.4,,213,11.6,,1013.5,
2023-03-13 00:00:00,10.2,2,18,0,,199,15.5,,1007.2,
2023-03-14 00:00:00,7.6,3,12,7.1,,235,24.4,,1002.8,
2023-03-15 00:00:00,2.4,0,6,3.1,,264,16.3,,1016.6,
2023-03-16 00:00:00,2.5,-3,9,0,,89,8.8,,1019.3,
2023-03-17 00:00:00,5.9,-3,16,0,,30,6.3,,1013,
2023-03-18 00:00:00,9.4,2,17,0,,93,6.9,,1013.5,
2023-03-19 00:00:00,8.3,3,13,2.7,,199,7.9,,1016.3,
2023-03-20 00:00:00,8.5,4,12,1.2,,245,11.3,,1020,
2023-03-21 00:00:00,9,5,14,0,,224,5.7,,1017,
2023-03-22 00:00:00,10.6,4,18,0.5,,210,9.6,,1013.8,
2023-03-23 00:00:00,11.3,6,17,0,,213,11.7,,1012.3,
2023-03-24 00:00:00,10.9,8,14,2.4,,213,20.7,,1010.1,
2023-03-25 00:00:00,8,6,11,2.9,,237,32.2,,1012.3,
2023-03-26 00:00:00,6.2,4,8,3.2,,217,19.5,,1007,
2023-03-27 00:00:00,2.3,-2,4,5.2,,271,21.2,,1013.5,
2023-03-28 00:00:00,1.5,-2,6,0,,244,14.5,,1024.5,
2023-03-29 00:00:00,7.4,1,13,2.8,,216,15.9,,1019.5,
2023-03-30 00:00:00,11.1,8,15,3.1,,219,17.5,,1014.8,
2023-03-31 00:00:00,8.5,5,13,2.7,,214,20.4,,1006.5,
2023-04-01 00:00:00,7.7,6,10,2.9,,236,31.8,,1005.5,
2023-04-02 00:00:00,6.9,3,10,2.6,,280,18.2,,1014,
2023-04-03 00:00:00,2,0,5,0.1,,34,15.9,,1022.6,
2023-04-04 00:00:00,-0.3,-4,4,0,,57,12.4,,1022.3,
2023-04-05 00:00:00,-0.1,-6,6,0,,54,7.7,,1019.3,
2023-04-06 00:00:00,2.5,-5,10,0,,195,7.6,,1018.3,
2023-04-07 00:00:00,6.2,2,10,0.3,,243,8.5,,1016.1,
2023-04-08 00:00:00,4.2,2,6,4.5,,284,10.7,,1020.1,
2023-04-09 00:00:00,5.6,2,10,0.1,,71,8.3,,1023.5,
2023-04-10 00:00:00,6.3,-4,14,0,,93,8,,1021.1,
2023-04-11 00:00:00,8.6,3,12,6.1,,233,19.5,,1015.2,
2023-04-12 00:00:00,7.6,3,13,8.3,,190,13.8,,1007.4,
2023-04-13 00:00:00,5.8,4,8,4.9,,230,15.2,,1007.2,
2023-04-14 00:00:00,5,3,9,4.1,,256,12.5,,1007.3,
2023-04-15 00:00:00,5.8,4,9,1.7,,257,14.4,,1008.1,
2023-04-16 00:00:00,5.3,4,7,8.5,,221,13.5,,1017.2,
2023-04-17 00:00:00,6.1,2,11,0.6,,205,7.1,,1020,
2023-04-18 00:00:00,7.9,6,10,0.2,,46,14.7,,1020.2,
2023-04-19 00:00:00,6.6,4,9,5.2,,20,12.1,,1018.6,
2023-04-20 00:00:00,4.3,3,6,6.2,,63,10.4,,1012.8,
2023-04-21 00:00:00,10.3,4,18,0.7,,54,8.8,,1011.7,
